protein_id,kd,scoreSB_CB,scoreMDS_CB,scoreMDW_CB,scoreKP_CB,scoreRRP_CB,scoreMNJ_Etot_CB,scoreMNJ_Elj_CB,scoreMNJ_Ee_CB,scoreMNJ_Ehb_CB,scoreEE_CB,scoreEC_CB,scoreSB_CA,scoreMDS_CA,scoreMDW_CA,scoreKP_CA,scoreRRP_CA,scoreMNJ_Etot_CA,scoreMNJ_Elj_CA,scoreMNJ_Ee_CA,scoreMNJ_Ehb_CA,scoreEE_CA,scoreEC_CA,scoreSB_BB_NB_CB,scoreMDS_BB_NB_CB,scoreMDW_BB_NB_CB,scoreKP_BB_NB_CB,scoreRRP_BB_NB_CB,scoreMNJ_BB_NB_Etot_CB,scoreMNJ_BB_NB_Elj_CB,scoreMNJ_BB_NB_Ee_CB,scoreMNJ_BB_NB_Ehb_CB,scoreEE_BB_NB_CB,scoreEC_BB_NB_CB,scoreSB_BB_Bt_CA,scoreSB_BB_B_CA,scoreSB_BB_NB_CA,scoreMDS_BB_NB_CA,scoreMDW_BB_NB_CA,scoreKP_BB_NB_CA,scoreRRP_BB_B_CA,scoreRRP_BB_NB_CA,scoreMNJ_BB_NB_Etot_CA,scoreMNJ_BB_NB_Elj_CA,scoreMNJ_BB_NB_Ee_CA,scoreMNJ_BB_NB_Ehb_CA,scoreEE_BB_NB_CA,scoreEC_BB_NB_CA
best_model_2673,9.26593659416856,4.34,7.3,14.67,3.82,3.29,-495.25,-496.68,4.33,-2.9,9.28,3.22,1.94,1.82,6.48,1.4,3.36,-22.27,-25.39,3.77,-0.65,-1.12,-2.64,16.31,17.31,17.1,153.26,-7.93,-18.52,-18.37,0.15,-0.3,6.13,59.25,5,-1,7.78,8.96,8.38,134.24,-1.37,2.35,-8.1,-8.19,0.2,-0.12,4.83,49.33
best_model_2674,9.12912328689983,4.52,5.21,13.16,3.38,7.02,-318.36,-320.25,4.35,-2.46,10.86,5.26,2.58,0.98,6.28,1.8,3.23,-20.79,-23.93,3.78,-0.64,-1.2,-3.16,16.91,17.88,17.7,161.48,-8.51,2.7,2.74,0.25,-0.29,6.13,60.08,2,-2,7.71,8.73,8.31,136.34,-1.51,2.6,-7.06,-7.12,0.18,-0.11,4.85,50.27
best_model_2675,9.39624688181528,4.52,5.21,13.16,3.38,4.92,-402.36,-404.03,4.39,-2.71,10.86,5.26,1.94,1.82,6.48,1.4,3.2,-22.35,-25.48,3.78,-0.66,-1.12,-2.64,16.51,17.48,17.34,155.74,-8.62,-2.15,-2.04,0.2,-0.31,6.03,59.6,3,2,8.29,9.32,8.89,139.38,-1.42,2.33,-7.2,-7.26,0.17,-0.12,4.93,50.87
best_model_2676,9.15325261870825,5.02,5.18,13.85,3.94,4.24,-411.17,-412.77,4.37,-2.76,8.84,2.84,1.94,1.82,6.48,1.4,3.43,-21.64,-24.77,3.78,-0.65,-1.12,-2.64,17.47,18.51,18.26,154.66,-9.33,29.99,30.08,0.18,-0.28,6.22,59.87,5,0,8.18,9.18,8.7,145.14,-1.39,2.32,-7.65,-7.72,0.18,-0.11,4.93,51.51
best_model_2677,9.15950044217855,4.26,5.61,14.99,3.3,3.04,-465.1,-466.65,4.37,-2.81,8.78,3.6,1.94,1.82,6.48,1.4,3.19,-22.89,-26.01,3.78,-0.66,-1.12,-2.64,16.54,17.52,17.34,150.96,-8.58,-7.17,-7.09,0.24,-0.31,6.06,58.49,3,-1,8.27,9.27,8.86,138.32,-1.34,2.35,-7.31,-7.37,0.17,-0.11,4.9,50.6
best_model_2678,9.15950044217855,3.7,5.99,13.43,2.94,2.76,-527.72,-529,4.29,-3.01,8.82,2.74,1.94,1.82,6.48,1.4,3.29,-22.8,-25.91,3.77,-0.66,-1.12,-2.64,16.96,17.92,17.71,147.02,-8.81,13.4,13.51,0.18,-0.29,6.09,58.06,2,-3,7.98,9.05,8.55,138.32,-1.35,2.5,-7.71,-7.79,0.19,-0.11,4.9,50.32
best_model_2679,9.19216367328476,4.7,7.74,15.78,4.02,8.07,-217.55,-219.78,4.4,-2.17,9.04,3.3,1.94,1.82,6.48,1.4,3.39,-20.86,-24.02,3.8,-0.64,-1.12,-2.64,16.9,17.84,17.66,156.3,-8.56,11.59,11.66,0.2,-0.28,6.08,59.24,2,3,8.51,9.57,9.1,145.32,-1.44,2.55,-6.05,-6.12,0.19,-0.11,4.92,51.9
best_model_268,9.25014517247043,3.7,8.14,14.86,3.42,2.34,-520.58,-522,4.39,-2.98,9.36,3.74,1.94,1.82,6.48,1.4,3.13,-23.51,-26.62,3.78,-0.67,-1.12,-2.64,16.87,17.65,17.57,150.66,-7.41,-6.97,-6.87,0.17,-0.27,6.1,58.33,3,-4,8.12,9.15,8.75,137.46,-1.35,2.51,-6.19,-6.23,0.16,-0.11,4.9,50.74
best_model_2680,9.12912328689983,3.84,7.33,13.99,3.26,3.37,-484.53,-485.96,4.38,-2.95,11.3,5.64,1.94,1.82,6.48,1.4,3.11,-23.71,-26.81,3.78,-0.67,-1.12,-2.64,16.52,17.41,17.3,153.64,-8.5,-5.43,-5.35,0.21,-0.3,6.08,58.72,4,-3,8.3,9.55,9,137.1,-1.38,2.38,-7.5,-7.61,0.22,-0.12,4.9,50.28
best_model_2681,9.20594947368189,4.74,6.46,15.15,3.74,-0.28,-683.13,-684.08,4.44,-3.5,8.68,3.44,1.94,1.82,6.48,1.4,2.66,-26.99,-30.05,3.78,-0.72,-1.12,-2.64,16.4,17.22,17.09,154.9,-7.48,1.21,1.27,0.21,-0.28,6.05,59.17,2,-3,8.24,9.26,8.81,140.16,-1.42,2.39,-8.03,-8.08,0.17,-0.11,4.89,51.32
best_model_2682,9.45422838100091,4.38,6.02,14.04,3.54,0.99,-583.34,-584.55,4.38,-3.17,8.92,3.36,1.94,1.82,6.48,1.4,3.19,-23.2,-26.32,3.79,-0.67,-1.12,-2.64,16.2,17.1,16.98,153.24,-9.04,5.27,5.36,0.19,-0.29,6.06,58.78,4,-4,7.67,8.76,8.29,142.72,-1.38,2.38,-7.75,-7.82,0.19,-0.12,4.89,51
best_model_2683,9.18543150370773,3.32,5.46,14.68,2.62,1.8,-545.44,-546.77,4.36,-3.04,9.18,3.04,1.94,1.82,6.48,1.4,3.04,-23.84,-26.95,3.78,-0.68,-1.12,-2.64,16.67,17.78,17.49,153.2,-8.18,-9.02,-8.89,0.18,-0.31,6.08,58.27,5,2,7.62,8.75,8.2,135.9,-1.39,2.42,-7.71,-7.76,0.17,-0.11,4.91,50.17
best_model_2684,9.19900186562874,4.38,6.02,14.04,3.54,2.32,-599.92,-601.1,4.36,-3.18,8.92,3.36,1.94,1.82,6.48,1.4,3.19,-23.25,-26.36,3.78,-0.67,-1.12,-2.64,16.83,17.7,17.59,157.12,-7.67,-5.65,-5.54,0.18,-0.29,6.1,59.26,2,-4,7.53,8.56,8.08,140.9,-1.4,2.39,-7.46,-7.52,0.17,-0.11,4.84,49.86
best_model_2685,8.69740280346787,4.74,6.46,15.15,3.74,0.55,-587.73,-588.96,4.38,-3.15,8.68,3.44,1.94,1.82,6.48,1.4,3.36,-23.92,-27.03,3.79,-0.68,-1.12,-2.64,15.85,16.69,16.63,154.5,-7.35,-5.75,-5.7,0.23,-0.28,6.04,58.41,6,3,8.47,9.61,9.1,138.34,-1.39,2.44,-7.78,-7.86,0.19,-0.11,4.98,51.19
best_model_2686,9.82213887183339,5.02,5.18,13.85,3.94,2.63,-541.57,-542.89,4.39,-3.07,8.84,2.84,1.94,1.82,6.48,1.4,3.2,-24.2,-27.3,3.78,-0.68,-1.12,-2.64,16.03,17,16.72,158.34,-8.7,18.13,18.2,0.21,-0.28,6.17,60.3,3,4,7.8,8.86,8.38,132.36,-1.42,2.39,-7.45,-7.5,0.17,-0.11,4.88,50.13
best_model_2687,8.48792553501615,4.38,6.02,14.04,3.54,1.26,-589.93,-591.09,4.39,-3.24,8.92,3.36,1.94,1.82,6.48,1.4,3.25,-23.26,-26.38,3.79,-0.67,-1.12,-2.64,16.24,17.08,16.97,147.26,-10.68,0.54,0.63,0.21,-0.3,6.15,59.06,5,-2,8.15,9.17,8.68,142.56,-1.36,2.42,-6.83,-6.9,0.18,-0.11,4.94,51.68
best_model_2688,9.11754350093278,3.7,6.18,15.04,2.98,6.48,-249.88,-252.15,4.37,-2.09,8.74,2.44,1.94,1.82,6.48,1.4,3.54,-20.26,-23.42,3.79,-0.63,-1.12,-2.64,16.79,17.8,17.54,155.52,-8.39,12.86,12.93,0.2,-0.27,6.18,59.75,2,-3,8.11,9.16,8.68,140.14,-1.41,2.37,-7.34,-7.41,0.18,-0.11,4.89,50.8
best_model_2689,8.09545127888259,4.38,6.02,14.04,3.54,-3.77,-1031.27,-1031.62,4.33,-3.99,8.92,3.36,2.58,0.98,6.28,1.8,3.09,-25.05,-28.13,3.77,-0.69,-1.2,-3.16,17.02,18.01,17.72,149.88,-8.56,-3.9,-3.8,0.18,-0.28,6.13,58.99,3,0,7.93,9.08,8.54,132.7,-1.32,2.43,-7.45,-7.51,0.17,-0.11,4.9,49.97
best_model_269,8.54514189525545,6.36,9.54,16.23,3.66,10.32,-102.53,-106.21,4.44,-0.76,11.52,6.06,3.7,5.96,9.58,1.34,5.46,-4.5,-7.83,3.7,-0.38,1.12,-0.66,16.49,17.49,17.25,153.9,-8.31,-13.52,-13.4,0.16,-0.29,6.08,58.91,5,-2,7.64,8.71,8.22,137.88,-1.4,2.32,-7.52,-7.59,0.18,-0.11,4.79,49.65
best_model_2690,9.03458421445311,4.38,6.02,14.04,3.54,1.81,-556.9,-558.17,4.35,-3.08,8.92,3.36,1.94,1.82,6.48,1.4,3.1,-23.59,-26.69,3.77,-0.67,-1.12,-2.64,16.78,17.89,17.63,157.56,-7.13,-15.96,-15.9,0.24,-0.3,6.15,59.96,3,4,8.33,9.45,8.93,136.48,-1.35,2.29,-10.29,-10.34,0.17,-0.12,4.87,50.26
best_model_2691,8.88780877923265,5.24,5.38,14.65,4.34,2.82,-419.44,-421.01,4.4,-2.84,6.92,1.54,1.94,1.82,6.48,1.4,3.4,-22.5,-25.63,3.79,-0.66,-1.12,-2.64,17.04,17.92,17.74,154.46,-10.46,-2.21,-2.12,0.21,-0.3,6.24,59.94,2,3,8.29,9.22,8.8,138.96,-1.39,2.27,-7.5,-7.56,0.16,-0.11,4.94,51.44
best_model_2692,8.73835403207021,4.38,6.02,14.04,3.54,5.78,-301.92,-303.86,4.47,-2.53,8.92,3.36,1.94,1.82,6.48,1.4,2.77,-25.75,-28.84,3.79,-0.7,-1.12,-2.64,16.49,17.29,17.19,148.32,-7.21,-9.6,-9.46,0.14,-0.28,6.01,58.59,3,0,8.01,9.22,8.64,138.1,-1.41,2.35,-7.6,-7.68,0.2,-0.12,4.88,50.17
best_model_2693,9.03932979436283,5.58,5.32,14.54,4.26,5.11,-370.6,-372.3,4.31,-2.6,8.24,2.72,1.94,1.82,6.48,1.4,3.22,-22.55,-25.65,3.76,-0.66,-1.12,-2.64,17.55,18.67,18.41,156.92,-7.81,2.83,2.83,0.26,-0.26,6.11,58.5,6,-2,7.94,9.1,8.61,133.48,-1.37,2.5,-6.84,-6.96,0.22,-0.11,4.85,49.38
best_model_2694,9.14102036644308,3.22,7.66,14.55,2.8,4.92,-318.12,-320.08,4.42,-2.46,8.26,2.64,1.94,1.82,6.48,1.4,3.26,-21.55,-24.7,3.8,-0.65,-1.12,-2.64,15.85,16.89,16.61,156.44,-8.89,15.19,15.23,0.24,-0.28,6.11,59.77,6,-2,8.39,9.61,9.08,136.62,-1.51,2.45,-7.06,-7.15,0.21,-0.11,4.86,50.35
best_model_2695,9.02988993911472,4.38,6.02,14.04,3.54,3.61,-406.82,-408.45,4.39,-2.77,8.92,3.36,1.94,1.82,6.48,1.4,3.15,-23.18,-26.3,3.79,-0.67,-1.12,-2.64,16.57,17.47,17.27,155.8,-7.69,-6.68,-6.6,0.22,-0.3,6.04,58.92,5,1,7.92,9.11,8.62,132.16,-1.36,2.34,-7.34,-7.41,0.19,-0.12,4.77,49.06
best_model_2696,9.27405302187686,5.38,5.63,14.96,4.14,5.78,-309.27,-311.19,4.33,-2.41,8.6,2.92,1.94,1.82,6.48,1.4,3.4,-20.42,-23.56,3.76,-0.63,-1.12,-2.64,16.44,17.45,17.26,156.28,-8.44,-3.09,-3,0.22,-0.31,6.07,58.79,2,-2,8.05,9.22,8.65,138.9,-1.51,2.41,-7.87,-7.96,0.2,-0.12,4.91,50.03
best_model_2697,9.15325261870825,4.3,4.72,13.83,3.62,4.14,-360.24,-362,4.39,-2.64,6.76,0.34,1.94,1.82,6.48,1.4,3.4,-22.51,-25.64,3.79,-0.66,-1.12,-2.64,15.83,16.79,16.66,151.5,-8.77,9.02,9.12,0.19,-0.29,6.13,59,5,2,7.82,8.92,8.45,139,-1.32,2.56,-7.26,-7.34,0.19,-0.11,4.9,51
best_model_2698,8.26211473220638,4.74,6.46,15.15,3.74,-2.64,-906.72,-907.35,4.38,-3.75,8.68,3.44,1.94,1.82,6.48,1.4,3.05,-25.28,-28.37,3.78,-0.69,-1.12,-2.64,16.23,17.21,16.94,156.88,-8.21,1.95,2.01,0.22,-0.28,6.07,58.82,3,0,8.31,9.38,8.94,139.36,-1.41,2.39,-7.47,-7.55,0.19,-0.11,4.84,49.95
best_model_2699,9.43009904919249,3.72,6.2,14.2,3.58,3.04,-417.42,-419.1,4.37,-2.69,7.7,2,1.94,1.82,6.48,1.4,3.22,-22.93,-26.05,3.77,-0.66,-1.12,-2.64,16,16.92,16.73,153.6,-7.62,-0.59,-0.55,0.22,-0.27,6.09,58.77,6,-2,8.07,9.04,8.65,130.66,-1.39,2.33,-7.62,-7.68,0.17,-0.11,4.81,49.14
best_model_27,11.5208027908208,4.06,16.55,5.54,0.12,-23.39,73.44,73.91,0.17,-0.64,15.38,-4.28,0.94,16.79,0.71,-2.16,-3.06,22.47,22.68,0,-0.21,10.62,-5.04,20.94,23.74,21.81,56.86,-3.6,-26.46,-26.51,0.25,-0.19,5.6,26.48,-4,-1,10.83,13.55,11.86,27.26,-2.03,3.21,-1.13,-1.28,0.24,-0.09,4.14,18.32
best_model_270,8.7731098756106,4.88,6.41,15.68,4.16,1.86,-491.9,-493.32,4.41,-2.99,9.1,2.9,1.94,1.82,6.48,1.4,3.3,-23.13,-26.25,3.79,-0.66,-1.12,-2.64,16.23,17.09,16.9,162.28,-9.43,20.77,20.84,0.2,-0.27,6.16,59.49,-1,-3,8.32,9.36,8.95,130.76,-1.37,2.45,-8.19,-8.25,0.17,-0.11,4.83,49.37
best_model_2700,9.17880211936956,4.88,4.94,13.54,4.14,7.92,-250.06,-252.17,4.35,-2.24,7.16,1.46,1.94,1.82,6.48,1.4,3.07,-22.83,-25.94,3.77,-0.66,-1.12,-2.64,16.42,17.41,17.22,152.42,-7.91,-1.29,-1.17,0.18,-0.3,6.19,59.27,6,1,8.11,9.17,8.71,137.92,-1.27,2.43,-7.41,-7.49,0.19,-0.11,4.95,51.01
best_model_2701,9.32622163318472,4.7,7.74,15.78,4.02,3.16,-480.79,-482.2,4.36,-2.95,9.04,3.3,2.58,0.98,6.28,1.8,3.16,-23.74,-26.83,3.78,-0.68,-1.2,-3.16,17.16,18.04,17.88,160.52,-12.12,-11.25,-11.14,0.19,-0.31,6.22,60.34,1,-1,8.82,9.76,9.37,143.72,-1.37,2.34,-8.3,-8.34,0.16,-0.11,4.96,51.64
best_model_2702,9.52116310954073,3.9,5.16,13.89,3.1,4.26,-402.08,-403.75,4.36,-2.69,9.02,3.52,1.94,1.82,6.48,1.4,3.18,-22.92,-26.03,3.78,-0.66,-1.12,-2.64,16.87,17.83,17.67,156.86,-7.38,-12.36,-12.3,0.24,-0.3,6.09,59.2,5,2,7.93,8.91,8.51,139,-1.36,2.37,-7.59,-7.65,0.17,-0.11,4.82,50.33
best_model_2703,9.55112093476305,4.74,6.46,15.15,3.74,4.72,-359.57,-361.37,4.38,-2.58,8.68,3.44,1.94,1.82,6.48,1.4,3.28,-22.36,-25.49,3.78,-0.66,-1.12,-2.64,16.86,17.78,17.58,158,-7.28,0.97,1,0.24,-0.27,6.14,59.57,5,-2,8.18,9.21,8.74,136.36,-1.45,2.42,-8.04,-8.1,0.17,-0.11,4.86,50.06
best_model_2704,9.33555997674572,4.74,6.46,15.15,3.74,3.36,-472.27,-473.75,4.37,-2.89,8.68,3.44,1.94,1.82,6.48,1.4,3.17,-23.02,-26.13,3.78,-0.67,-1.12,-2.64,16.59,17.51,17.33,158.2,-8.14,-4.84,-4.8,0.24,-0.28,6.15,60.02,6,-2,7.79,8.89,8.41,129.94,-1.39,2.31,-8.6,-8.66,0.18,-0.12,4.87,49.29
best_model_2705,9.38552494842822,3.22,7.28,14.71,2.98,3.73,-413.1,-414.72,4.45,-2.83,9.46,3.9,1.94,1.82,6.48,1.4,2.76,-25.81,-28.9,3.79,-0.7,-1.12,-2.64,16.21,17.12,16.92,155.62,-8.78,-7.54,-7.46,0.23,-0.31,6.1,59.22,5,-2,8,9.12,8.65,135.96,-1.38,2.36,-6.8,-6.87,0.19,-0.11,4.8,49.83
best_model_2706,8.99837856576049,4.26,5.61,14.99,3.3,-1.43,-733.8,-734.74,4.39,-3.46,8.78,3.6,1.94,1.82,6.48,1.4,3.18,-24.38,-27.48,3.79,-0.68,-1.12,-2.64,17.43,18.37,18.17,153.34,-7.87,-2.29,-2.23,0.22,-0.28,6.14,58.89,6,-1,8.17,9.21,8.79,138.7,-1.5,2.34,-7.56,-7.62,0.17,-0.11,4.83,49.54
best_model_2707,8.75787265467651,4.38,6.02,14.04,3.54,0.97,-629.87,-631,4.36,-3.23,8.92,3.36,1.94,1.82,6.48,1.4,3.11,-24.25,-27.35,3.78,-0.68,-1.12,-2.64,16.17,17.13,16.84,153.02,-7.24,-1.62,-1.52,0.16,-0.26,6.15,59.3,1,2,8.39,9.33,8.88,136.34,-1.43,2.26,-7.96,-7.98,0.13,-0.11,4.88,49.82
best_model_2708,8.75787265467651,4.24,5.78,13.73,3.74,3.11,-481.06,-482.48,4.36,-2.94,7.24,1.98,1.94,1.82,6.48,1.4,3.36,-22.08,-25.2,3.78,-0.65,-1.12,-2.64,16.84,17.74,17.63,156,-7.96,-0.89,-0.83,0.22,-0.29,6.14,59.75,3,0,7.83,8.9,8.47,138.16,-1.37,2.36,-7.32,-7.39,0.19,-0.12,4.79,49.84
best_model_2709,8.78890129730877,4.74,6.46,15.15,3.74,-4.9,-1092.72,-1092.95,4.37,-4.14,8.68,3.44,1.94,1.82,6.48,1.4,3.42,-23.95,-27.07,3.79,-0.68,-1.12,-2.64,15.66,16.39,16.39,158.24,-7.84,-7.58,-7.49,0.2,-0.29,6.01,58.96,7,-2,8.01,9.02,8.56,138.68,-1.37,2.41,-7.28,-7.36,0.19,-0.11,4.76,49.61
best_model_271,8.55441376866865,4.3,4.72,13.83,3.62,6.93,-223.87,-226.03,4.38,-2.22,6.76,0.34,1.94,1.82,6.48,1.4,3.46,-20.33,-23.48,3.78,-0.63,-1.12,-2.64,16.98,17.8,17.64,156.9,-9.42,16.19,16.29,0.2,-0.3,6.17,60.42,1,1,8.48,9.63,9.07,133.54,-1.47,2.28,-7.13,-7.2,0.19,-0.11,4.88,50.56
best_model_2710,8.60051024970573,3.68,6.38,13.34,3.28,-0.68,-707.49,-708.42,4.45,-3.51,6.22,0.14,1.94,1.82,6.48,1.4,2.73,-26.81,-29.88,3.78,-0.71,-1.12,-2.64,16.34,17.27,17.06,152.18,-8.23,-5.89,-5.78,0.19,-0.3,6.03,58.69,6,-3,7.8,8.79,8.39,133.8,-1.39,2.37,-7.91,-7.97,0.17,-0.12,4.85,49.92
best_model_2711,9.04897944125159,4.74,6.46,15.15,3.74,2.41,-496.72,-498.13,4.37,-2.96,8.68,3.44,1.94,1.82,6.48,1.4,3.24,-23.24,-26.34,3.77,-0.67,-1.12,-2.64,16.39,17.29,17.05,152.1,-7.87,-11.65,-11.53,0.19,-0.31,6.08,58.61,3,1,8.02,9.09,8.59,140.06,-1.31,2.38,-7.24,-7.31,0.19,-0.12,4.92,51.12
best_model_2712,9.65583741622935,3.94,6.54,14.74,3.5,-0.92,-750.49,-751.28,4.34,-3.55,9.12,3.38,2.58,0.98,6.28,1.8,2.86,-25.8,-28.87,3.77,-0.7,-1.2,-3.16,16.75,17.73,17.5,157.9,-8.75,22.35,22.43,0.2,-0.28,6.16,59.4,2,1,8,9.06,8.64,135.8,-1.44,2.35,-7.42,-7.49,0.18,-0.11,4.87,49.8
best_model_2713,9.56691235646123,4.38,6.02,14.04,3.54,-2.7,-891.67,-892.28,4.38,-3.77,8.92,3.36,2.58,0.98,6.28,1.8,3.14,-25.32,-28.4,3.77,-0.69,-1.2,-3.16,15.83,16.85,16.63,157.44,-8.04,-6.1,-6.08,0.26,-0.29,6.14,59.59,2,-5,8.46,9.42,9.03,136.68,-1.42,2.36,-7.51,-7.55,0.16,-0.11,4.81,49.99
best_model_2714,9.40724028519535,3.66,5.56,14.02,3.22,3.1,-450.83,-452.3,4.29,-2.82,6.84,0.86,1.94,1.82,6.48,1.4,3.41,-21.26,-24.38,3.76,-0.64,-1.12,-2.64,15.27,16.13,15.99,156.02,-7.87,-8.57,-8.5,0.2,-0.27,6.13,58.63,5,-2,8.03,9.2,8.66,132.92,-1.38,2.43,-7.74,-7.84,0.2,-0.11,4.81,49.18
best_model_2715,9.30812667165606,4.9,4.77,14.8,3.7,7.1,-235.8,-237.97,4.45,-2.28,8.7,3.08,1.94,1.82,6.48,1.4,2.78,-25.41,-28.49,3.78,-0.7,-1.12,-2.64,17.32,18.22,18.02,155.48,-7.75,-10.36,-10.32,0.25,-0.28,6.13,58.93,3,-2,8.04,9.11,8.64,139.86,-1.36,2.53,-6.87,-6.98,0.22,-0.11,4.91,50.53
best_model_2716,9.49313943557742,4.74,6.46,15.15,3.74,2.76,-540,-541.33,4.33,-3,8.68,3.44,2.58,0.98,6.28,1.8,3.42,-22.54,-25.65,3.77,-0.66,-1.2,-3.16,16.58,17.58,17.41,152.38,-7.67,-4.15,-4.06,0.2,-0.29,6.09,59.85,3,0,8.06,9.19,8.68,138.48,-1.47,2.31,-7.71,-7.78,0.19,-0.12,4.86,50.81
best_model_2717,9.45422838100091,5.52,4.82,14.08,3.98,5.92,-320.33,-322.2,4.47,-2.6,10.54,4.82,1.94,1.82,6.48,1.4,2.92,-25.04,-28.14,3.78,-0.69,-1.12,-2.64,17.45,18.32,18.2,149.68,-8.91,-3.56,-3.48,0.22,-0.3,6.06,57.8,5,2,7.83,8.8,8.41,135.46,-1.42,2.33,-7.39,-7.45,0.17,-0.11,4.84,49.77
best_model_2718,9.44199612873574,4.86,6.12,14.59,3.6,6.89,-271.44,-273.45,4.38,-2.37,8.02,2.56,1.94,1.82,6.48,1.4,3.27,-21.07,-24.22,3.79,-0.64,-1.12,-2.64,15.74,16.6,16.54,152.48,-8.26,-4.89,-4.81,0.21,-0.28,6.01,58.46,5,-1,8,8.87,8.52,138.9,-1.39,2.35,-7.61,-7.67,0.17,-0.11,4.86,50.36
best_model_2719,9.39624688181528,4.18,6.46,14.58,3.34,-1.92,-874.42,-875.04,4.37,-3.75,9.14,3.22,1.94,1.82,6.48,1.4,3.19,-23.27,-26.39,3.78,-0.66,-1.12,-2.64,16.31,17.29,17.19,148.18,-7.4,-5.81,-5.73,0.21,-0.28,5.99,57.9,5,0,7.64,8.79,8.29,135.96,-1.38,2.45,-7.92,-8,0.19,-0.11,4.81,49.86
best_model_272,8.73125497084507,4.38,6.02,14.04,3.54,6.4,-274.52,-276.59,4.37,-2.31,8.92,3.36,1.94,1.82,6.48,1.4,3.19,-22.27,-25.39,3.78,-0.66,-1.12,-2.64,16.31,17.24,16.99,156.42,-8.82,12.31,12.38,0.2,-0.27,6.19,59.54,6,-4,7.99,9.04,8.59,133.4,-1.38,2.44,-6.92,-6.98,0.16,-0.11,4.83,49.37
best_model_2720,9.15325261870825,3.7,8.14,14.86,3.42,2.34,-520.58,-522,4.39,-2.98,9.36,3.74,1.94,1.82,6.48,1.4,3.13,-23.51,-26.62,3.78,-0.67,-1.12,-2.64,16.87,17.65,17.57,150.66,-7.41,-6.97,-6.87,0.17,-0.27,6.1,58.33,3,-4,8.12,9.15,8.75,137.46,-1.35,2.51,-6.19,-6.23,0.16,-0.11,4.9,50.74
best_model_2721,9.08987705960143,4.02,7.33,13.98,2.54,2.16,-569.15,-570.36,4.38,-3.17,10.84,5.42,1.94,1.82,6.48,1.4,3.21,-23.05,-26.16,3.78,-0.66,-1.12,-2.64,16.28,17.21,17.01,154.32,-9.71,-2.43,-2.33,0.2,-0.3,6.07,59.05,2,-2,7.82,8.97,8.48,136.42,-1.31,2.39,-7.43,-7.52,0.21,-0.11,4.86,49.99
best_model_2722,8.88112839762627,6.36,9.54,16.23,3.66,10.32,-102.53,-106.21,4.44,-0.76,11.52,6.06,3.7,5.96,9.58,1.34,5.46,-4.5,-7.83,3.7,-0.38,1.12,-0.66,16.49,17.49,17.25,153.9,-8.31,-13.52,-13.4,0.16,-0.29,6.08,58.91,5,-2,7.64,8.71,8.22,137.88,-1.4,2.32,-7.52,-7.59,0.18,-0.11,4.79,49.65
best_model_2723,8.38570510778815,0.84,2.2,6.42,0.8,6.71,-262.94,-263.17,2.36,-2.13,9.06,0.86,-0.44,1.66,0.45,-0.86,3.97,-14.33,-16.09,2.1,-0.34,1.94,-1.02,16.63,17.63,17.4,158.04,-7.63,-7.84,-7.79,0.25,-0.29,6.17,59.51,6,1,8.16,9.19,8.71,135.22,-1.34,2.31,-10.28,-10.33,0.17,-0.12,4.86,50.07
best_model_2724,8.56709251582115,6.68,8.15,14.78,4.84,5.61,-333.01,-334.86,4.36,-2.51,8.8,3.8,1.94,1.82,6.48,1.4,3.45,-21.27,-24.41,3.78,-0.64,-1.12,-2.64,16.34,17.32,17.12,155.4,-7.55,-8.68,-8.63,0.24,-0.29,6.19,59.67,5,-3,8.45,9.56,9.07,130.46,-1.41,2.38,-7.79,-7.83,0.15,-0.11,4.86,49.89
best_model_2725,8.7455710886208,4.88,6.41,15.68,4.16,1.86,-491.9,-493.32,4.41,-2.99,9.1,2.9,1.94,1.82,6.48,1.4,3.3,-23.13,-26.25,3.79,-0.66,-1.12,-2.64,16.23,17.09,16.9,162.28,-9.43,20.77,20.84,0.2,-0.27,6.16,59.49,-1,-3,8.32,9.36,8.95,130.76,-1.37,2.45,-8.19,-8.25,0.17,-0.11,4.83,49.37
best_model_2726,8.86806827811381,4.3,4.72,13.83,3.62,6.93,-223.87,-226.03,4.38,-2.22,6.76,0.34,1.94,1.82,6.48,1.4,3.46,-20.33,-23.48,3.78,-0.63,-1.12,-2.64,16.98,17.8,17.64,156.9,-9.42,16.19,16.29,0.2,-0.3,6.17,60.42,1,1,8.48,9.63,9.07,133.54,-1.47,2.28,-7.13,-7.2,0.19,-0.11,4.88,50.56
best_model_2727,8.80528876061008,4.74,6.46,15.15,3.74,4.72,-342.91,-344.71,4.39,-2.58,8.68,3.44,1.94,1.82,6.48,1.4,3.32,-22.25,-25.38,3.78,-0.66,-1.12,-2.64,16.33,17.27,17.03,153.88,-8.5,6.84,6.94,0.19,-0.29,6.1,58.76,2,-3,8.06,9.07,8.64,139.16,-1.41,2.35,-8.15,-8.2,0.17,-0.12,4.81,49.84
best_model_2728,8.66197944828224,4.38,6.02,14.04,3.54,6.4,-274.52,-276.59,4.37,-2.31,8.92,3.36,1.94,1.82,6.48,1.4,3.19,-22.27,-25.39,3.78,-0.66,-1.12,-2.64,16.31,17.24,16.99,156.42,-8.82,12.31,12.38,0.2,-0.27,6.19,59.54,6,-4,7.99,9.04,8.59,133.4,-1.38,2.44,-6.92,-6.98,0.16,-0.11,4.83,49.37
